Century,r_global_avg,arrival_eval_rate,arrival_flight_rate,meet_ttot_rate,sum_depflight,collisions_avg,wait_num_avg,fstep_avg,r_avg_0,r_avg_1,r_avg_2,r_avg_3,r_avg_4,r_avg_5,r_global_eval,r_eval_0,r_eval_1,r_eval_2,r_eval_3,r_eval_4,r_eval_5,r_eval_local,duration (s), dist_action
14200,-328.01,1.00,1.00,0.83,30,0.00,0.00,79.50,-72.24,-74.45,-58.81,-62.97,-44.01,-15.53,151.22,36.73,23.94,16.11,18.81,28.90,26.73,151.22,1361,[0.06254991 0.19936119 0.26856534 0.33617248 0.13335108]
14300,-355.47,0.90,0.97,0.72,29,3.00,0.00,94.00,-54.05,-66.99,-63.84,-84.09,-51.34,-35.16,-23.02,32.44,15.37,9.31,-41.46,-63.29,24.61,-23.02,1417,[0.06998689 0.19973788 0.27103539 0.33211009 0.12712975]
14400,-419.56,0.90,0.98,0.64,33,1.20,0.00,92.50,-72.12,-85.78,-73.75,-64.94,-75.61,-47.37,61.82,22.89,10.81,13.68,17.50,-20.90,17.84,61.82,1601,[0.07144553 0.20507952 0.24685497 0.35532874 0.12129124]
14500,-361.95,0.90,0.95,0.77,30,24.00,0.00,102.50,-60.06,-69.81,-73.59,-101.05,-33.78,-23.66,-131.31,-41.91,20.55,-88.86,17.00,-67.55,29.46,-131.31,1451,[0.06426294 0.20063772 0.26391955 0.32376748 0.14741231]
14600,-323.66,0.90,0.98,0.69,29,0.40,0.00,87.60,-47.16,-89.01,-50.74,-54.34,-27.97,-54.44,77.55,33.29,-42.71,14.13,11.22,36.88,24.74,77.55,1467,[0.06668377 0.18568864 0.26981277 0.3464991  0.13131572]
14700,-273.41,0.90,0.93,0.66,29,12.20,0.00,111.70,-61.90,-70.35,-24.50,-53.22,-24.64,-38.80,-215.39,-90.11,-79.31,17.62,16.22,-50.44,-29.37,-215.39,1424,[0.06732304 0.18068121 0.28791911 0.33315593 0.1309207 ]
14800,-323.64,1.00,1.00,0.76,29,3.20,0.00,79.90,-75.08,-63.45,-60.99,-68.45,-38.67,-17.00,127.14,28.47,22.13,14.27,9.23,34.28,18.76,127.14,1506,[0.06440589 0.17534175 0.27944269 0.34305994 0.13774974]
14900,-255.74,0.70,0.88,0.59,29,1.60,0.00,139.30,-54.91,-74.41,-32.51,-36.19,-34.32,-23.40,-403.77,-47.46,-53.61,-229.49,9.65,-55.58,-27.28,-403.77,1447,[0.07397185 0.17471709 0.28705493 0.35053823 0.11371791]
15000,-358.36,0.70,0.95,0.73,30,3.40,0.00,103.30,-51.11,-61.52,-49.27,-56.67,-72.81,-66.98,-57.93,28.37,13.79,14.07,19.85,-24.48,-109.53,-57.93,1412,[0.06477939 0.1958684  0.27084927 0.34200459 0.12649834]
15100,-230.65,0.90,0.95,0.82,28,11.80,0.00,106.50,-50.31,-50.37,-45.05,-46.97,-13.27,-24.68,-162.90,-84.10,-61.71,-9.26,15.27,-46.17,23.07,-162.90,1369,[0.07707399 0.20123318 0.27073991 0.34865471 0.10229821]
15200,-341.66,0.90,0.97,0.77,31,0.60,0.00,97.00,-56.91,-74.01,-51.94,-59.38,-51.65,-47.77,31.90,32.58,22.60,-37.92,5.17,38.52,-29.05,31.90,1483,[0.06986232 0.19989801 0.28403876 0.32559918 0.12060173]
15300,-277.15,0.50,0.83,0.77,31,16.00,0.00,166.80,-23.81,-70.70,-49.38,-69.96,-39.80,-23.50,-714.56,-206.88,2.70,-315.17,16.52,-181.70,-30.03,-714.56,1330,[0.06718415 0.19941113 0.2743576  0.35037473 0.10867238]
