Century,r_global_avg,arrival_eval_rate,arrival_flight_rate,meet_ttot_rate,sum_depflight,collisions_avg,wait_num_avg,fstep_avg,r_avg_0,r_avg_1,r_avg_2,r_avg_3,r_avg_4,r_avg_5,r_global_eval,r_eval_0,r_eval_1,r_eval_2,r_eval_3,r_eval_4,r_eval_5,r_eval_local,duration (s), dist_action
29400,-313.40,0.70,0.88,0.63,30,7.20,0.00,149.50,-56.00,-16.86,-76.72,-53.85,-47.97,-61.99,-534.27,3.66,-130.73,-119.70,-231.52,2.43,-58.41,-534.27,2726,[0.06763164 0.3443973  0.12103818 0.19665585 0.27027702]
29500,-445.25,0.90,0.98,0.77,31,5.20,0.00,96.90,-56.32,-88.84,-86.07,-79.13,-63.04,-71.85,18.29,33.97,-79.28,22.27,18.13,9.86,13.34,18.29,1966,[0.0666516  0.32489833 0.14143696 0.21170357 0.25530953]
29600,-382.56,0.90,0.97,0.77,30,15.80,0.00,109.50,-50.81,-43.61,-89.53,-52.65,-56.67,-89.30,-73.28,-54.29,-1.40,-66.14,19.88,13.24,15.43,-73.28,1570,[0.05803788 0.34069937 0.13040311 0.20835357 0.26250607]
29700,-401.60,0.70,0.87,0.58,26,45.20,0.00,162.00,-38.10,-34.89,-101.89,-73.00,-70.45,-83.27,-796.01,-82.48,-316.70,10.99,-221.67,-24.80,-161.35,-796.01,2161,[0.06105834 0.34893713 0.12641339 0.21393035 0.24966079]
29800,-354.02,1.00,1.00,0.77,30,7.20,0.00,91.10,-35.79,-38.64,-72.76,-68.74,-62.79,-75.30,98.58,28.17,29.04,16.38,7.08,8.81,9.10,98.58,3155,[0.06497175 0.36581921 0.11487759 0.21869115 0.2356403 ]
29900,-314.59,0.70,0.95,0.74,31,6.60,0.00,117.60,-40.78,-44.69,-67.67,-49.21,-46.38,-65.86,-77.19,-33.83,28.66,22.41,-100.36,2.19,3.74,-77.19,2061,[0.05933089 0.37219028 0.09827496 0.2062206  0.26398327]
30000,-331.16,0.80,0.97,0.73,33,7.60,0.00,106.90,-62.05,-27.20,-78.20,-42.41,-39.67,-81.63,-8.91,21.56,-34.60,-33.00,16.60,8.74,11.79,-8.91,1796,[0.06303152 0.36493247 0.1108054  0.20435218 0.25687844]
30100,-415.39,0.90,0.98,0.78,32,5.20,0.00,97.90,-56.87,-57.03,-105.06,-47.48,-76.11,-72.84,59.00,25.75,30.47,28.03,15.37,-46.80,6.18,59.00,1855,[0.05438638 0.35327501 0.12012296 0.21920076 0.2530149 ]
30200,-336.24,0.80,0.88,0.76,29,22.40,0.00,157.40,-54.34,-30.47,-53.84,-59.61,-60.58,-77.39,-583.85,-49.64,-148.78,-29.01,-157.21,-48.17,-151.04,-583.85,1790,[0.06248462 0.35350554 0.11414514 0.20344403 0.26642066]
30300,-400.71,1.00,1.00,0.73,30,6.20,0.00,89.40,-52.51,-58.97,-61.01,-86.93,-63.25,-78.04,109.85,30.60,25.80,21.30,14.54,8.90,8.71,109.85,1703,[0.06207383 0.35715965 0.11968023 0.21561251 0.24547378]
30400,-330.69,0.90,0.95,0.70,30,5.20,0.00,121.00,-44.82,-43.90,-62.12,-59.08,-38.48,-82.29,-140.48,-82.44,27.22,26.88,-51.15,-59.80,-1.19,-140.48,1471,[0.06780888 0.35183398 0.11920849 0.21838803 0.24276062]
30500,-347.72,0.80,0.93,0.83,30,26.90,0.00,122.90,-53.44,-21.13,-84.24,-66.08,-46.72,-76.11,-233.81,-76.14,33.15,-57.07,-93.11,-50.44,9.80,-233.81,1446,[0.06435772 0.34815198 0.12173688 0.19591626 0.26983717]
30600,-401.56,0.80,0.93,0.57,30,9.00,0.00,125.30,-56.13,-48.96,-94.15,-55.04,-69.58,-77.71,-155.29,-37.71,20.38,-53.73,-45.58,6.50,-45.15,-155.29,1566,[0.06505159 0.34679228 0.1303275  0.21040825 0.24742037]
30700,-372.99,1.00,1.00,0.77,30,5.80,0.00,90.00,-43.01,-27.78,-102.83,-53.43,-66.00,-79.95,115.56,30.60,31.66,19.30,15.40,9.40,9.20,115.56,1511,[0.05386038 0.32871012 0.1319926  0.20758206 0.27785483]
30800,-409.59,0.90,0.97,0.58,31,6.60,0.00,105.80,-76.25,-47.27,-81.51,-67.01,-59.97,-77.58,-91.44,-74.17,-61.38,13.05,16.19,7.30,7.57,-91.44,1631,[0.06212019 0.33130767 0.13234301 0.20414135 0.27008778]
30900,-396.67,0.90,0.98,0.60,30,5.80,0.00,98.40,-93.16,-33.12,-89.22,-40.99,-42.02,-98.15,-10.95,-75.65,23.89,20.44,9.74,-0.15,10.78,-10.95,1603,[0.05518201 0.33990262 0.13540459 0.20333874 0.26617204]
31000,-342.56,0.80,0.93,0.55,29,8.80,0.00,124.80,-67.75,-43.31,-66.95,-65.59,-47.82,-51.14,-198.04,23.79,-89.55,-48.21,21.20,-108.11,2.84,-198.04,1435,[0.05562484 0.37316039 0.10451484 0.2065353  0.26016463]
31100,-367.07,0.80,0.93,0.69,32,11.00,0.00,127.00,-83.19,-36.30,-85.16,-38.06,-34.80,-89.57,-235.56,-5.79,-37.02,-31.21,-108.96,-70.46,17.88,-235.56,1468,[0.06188467 0.34857009 0.13759962 0.20651664 0.24542897]
31200,-362.94,0.60,0.90,0.66,29,11.40,0.00,149.10,-46.27,-31.64,-93.45,-87.87,-45.69,-58.03,-513.29,-195.20,14.81,-47.14,-43.45,-171.88,-70.43,-513.29,1483,[0.05443309 0.35512242 0.1276444  0.22034704 0.24245305]
31300,-292.96,0.80,0.93,0.83,30,10.60,0.00,123.50,-45.56,-16.90,-67.80,-44.31,-53.21,-65.18,-155.53,33.40,-47.07,-65.94,-45.93,10.36,-40.35,-155.53,1339,[0.06045884 0.34385965 0.12307692 0.18596491 0.28663968]
31400,-443.84,0.80,0.97,0.76,29,7.00,0.00,110.40,-84.83,-29.06,-83.24,-62.43,-75.96,-108.31,-80.70,-36.72,24.99,22.87,-116.70,11.46,13.40,-80.70,1552,[0.05828865 0.32245279 0.14082537 0.20890651 0.2695267 ]
31500,-335.08,0.80,0.97,0.63,30,6.80,0.00,113.00,-38.55,-43.96,-102.11,-51.71,-51.67,-47.09,-115.38,24.11,-75.18,-94.14,8.03,9.41,12.39,-115.38,1424,[0.05732484 0.3544831  0.11734444 0.21582558 0.25502205]
31600,-441.26,0.90,0.97,0.86,28,11.00,0.00,107.30,-68.39,-58.51,-111.10,-71.21,-55.35,-76.69,-24.79,-33.54,21.74,23.01,15.66,8.25,-59.91,-24.79,1527,[0.05471698 0.32429245 0.14056604 0.19622642 0.28419811]
31700,-230.60,0.90,0.97,0.83,30,6.20,0.00,107.20,-30.78,-9.66,-61.16,-41.35,-22.11,-65.53,-14.51,24.47,30.71,-47.47,-40.91,9.68,9.01,-14.51,1312,[0.06188467 0.36962025 0.09592124 0.19578059 0.27679325]
31800,-370.93,1.00,1.00,0.87,30,6.00,0.00,89.00,-65.35,-32.38,-79.24,-64.35,-61.70,-67.91,123.70,36.60,25.80,27.80,15.40,8.90,9.20,123.70,1448,[0.05871122 0.30906921 0.16109785 0.19069212 0.28042959]
31900,-360.99,0.90,0.98,0.72,32,5.60,0.00,98.20,-55.16,-35.20,-99.46,-57.08,-46.71,-67.39,-47.75,26.89,28.70,-137.02,12.93,5.80,14.95,-47.75,1586,[0.05558218 0.33540968 0.14206996 0.20364159 0.2632966 ]
32000,-298.26,0.60,0.90,0.74,31,6.40,0.00,141.60,-41.69,-56.06,-53.23,-58.11,-32.43,-56.73,-347.77,26.21,-168.88,-32.15,-86.48,16.10,-102.57,-347.77,1386,[0.06261462 0.33796175 0.12811108 0.19151166 0.27980089]
32100,-373.09,0.90,0.97,0.78,27,16.20,0.00,109.10,-63.53,-32.95,-122.32,-38.75,-41.01,-74.53,-67.63,19.45,-42.62,4.91,-4.00,-60.47,15.10,-67.63,1635,[0.05691595 0.34326053 0.11030223 0.22435473 0.26516656]
32200,-482.01,0.80,0.93,0.73,30,19.20,0.00,134.90,-73.62,-72.85,-109.14,-81.35,-57.42,-87.63,-296.24,-81.01,-56.98,-70.00,-90.23,1.68,0.30,-296.24,1628,[0.05980591 0.32340329 0.15030467 0.19702099 0.26946513]
32300,-315.62,0.90,0.98,0.80,30,7.60,0.00,96.70,-52.94,-16.69,-45.48,-106.82,-35.74,-57.94,13.86,-65.06,28.97,14.46,16.09,9.89,9.51,13.86,1423,[0.05659892 0.35502959 0.1119115  0.19861075 0.27784924]
32400,-358.32,0.70,0.87,0.67,30,58.80,0.00,162.20,-50.39,-73.19,-48.27,-53.94,-57.06,-75.48,-810.96,-126.82,-281.79,9.97,-200.56,-132.46,-79.30,-810.96,1436,[0.05357143 0.34548611 0.13566468 0.22197421 0.24330357]
32500,-396.08,0.80,0.90,0.77,31,9.40,0.00,138.60,-81.85,-24.50,-87.52,-54.72,-83.53,-63.97,-364.04,-44.67,32.42,24.26,-43.44,-186.23,-146.38,-364.04,1517,[0.06163581 0.32669323 0.13733302 0.20178111 0.27255683]
32600,-296.07,0.80,0.92,0.77,30,25.20,0.00,136.80,-50.51,-21.36,-54.37,-44.81,-36.02,-88.99,-411.04,-96.18,36.10,-123.54,15.46,-195.24,-47.64,-411.04,1579,[0.05297297 0.35540541 0.12054054 0.19       0.28108108]
32700,-312.71,0.80,0.93,0.71,31,7.40,0.00,130.20,-52.14,-34.68,-69.51,-48.86,-45.00,-62.52,-361.94,-37.04,-111.74,-133.43,4.86,11.06,-95.65,-361.94,2717,[0.05346386 0.3561747  0.11094378 0.21285141 0.26656627]
32800,-287.59,0.80,0.95,0.89,28,22.80,0.00,129.20,-62.97,-20.11,-65.99,-25.98,-58.08,-54.45,-345.55,-36.23,-125.31,26.83,-103.16,-53.58,-54.10,-345.55,1429,[0.05086445 0.32598346 0.15359559 0.2047106  0.2648459 ]
32900,-331.01,0.90,0.98,0.72,29,9.70,0.00,111.30,-43.01,-41.60,-58.44,-80.76,-42.23,-64.96,-60.07,-44.08,16.89,24.96,15.59,-48.41,-25.02,-60.07,1785,[0.05562273 0.34945586 0.12309553 0.23434099 0.23748489]
33000,-368.98,0.50,0.78,0.77,30,7.40,0.00,201.80,-53.61,-19.78,-91.98,-69.74,-67.47,-66.40,-838.11,-77.58,-37.51,-190.02,-222.95,-226.27,-83.78,-838.11,1623,[0.05389222 0.34686183 0.12597028 0.22998448 0.2432912 ]
33100,-170.82,0.70,0.92,0.73,30,11.80,0.00,130.30,-16.83,-12.22,-41.92,-26.16,-33.01,-40.68,-345.54,15.21,-74.91,-35.10,-90.31,-93.28,-67.15,-345.54,1259,[0.05268022 0.39186691 0.08009858 0.18607517 0.28927911]
33200,-282.87,0.80,0.93,0.83,30,5.80,0.00,121.70,-40.25,-46.00,-65.69,-22.32,-57.92,-50.70,-160.85,-39.71,33.15,-72.76,20.80,-113.57,11.24,-160.85,1370,[0.05642876 0.33187323 0.13218243 0.19531049 0.2842051 ]
33300,-324.11,0.80,0.93,0.82,28,6.40,0.00,124.60,-45.59,-33.92,-84.66,-38.91,-60.65,-60.39,-180.35,28.56,30.92,-50.50,15.28,-156.20,-48.41,-180.35,1409,[0.05077539 0.35442721 0.12156078 0.21285643 0.26038019]
33400,-415.37,0.90,0.98,0.76,33,19.40,0.00,107.30,-56.62,-60.36,-91.40,-47.46,-68.06,-91.48,-57.62,-31.48,-35.72,28.04,9.45,2.10,-30.01,-57.62,1527,[0.04867872 0.3646268  0.11219286 0.22044506 0.25405656]
33500,-307.48,0.80,0.97,0.81,31,4.60,0.00,105.20,-54.76,-67.85,-54.66,-31.77,-32.69,-65.74,-56.16,23.35,-49.75,33.92,11.44,-85.33,10.21,-56.16,1328,[0.05063291 0.35227579 0.12388904 0.20172367 0.27147859]
33600,-382.95,0.70,0.88,0.74,31,23.40,0.00,147.80,-54.46,-53.45,-65.16,-51.18,-69.80,-88.89,-520.21,23.98,-43.43,-122.21,-192.61,-131.63,-54.31,-520.21,1590,[0.05017301 0.37024221 0.10133465 0.23381117 0.24443895]
33700,-352.73,0.40,0.68,0.69,26,55.00,0.00,257.40,-23.50,-58.26,-65.62,-67.34,-58.44,-79.58,-1506.81,-212.82,-267.91,-223.69,-239.65,-184.60,-378.14,-1506.81,1849,[0.04764357 0.36466649 0.11975277 0.22379603 0.24414113]
33800,-359.46,0.70,0.92,0.73,33,7.00,0.00,131.80,-67.62,-7.28,-86.70,-58.20,-77.40,-62.25,-214.22,-89.04,-55.79,20.71,-58.76,17.34,-48.68,-214.22,3026,[0.04785038 0.34151081 0.12581977 0.20573233 0.27908671]
33900,-367.25,0.90,0.97,0.80,30,5.20,0.00,107.40,-67.36,-49.62,-68.53,-54.13,-48.51,-79.11,-15.40,33.72,27.24,-53.94,13.41,-46.74,10.91,-15.40,2148,[0.0526075  0.34400732 0.1278591  0.22849954 0.24702653]
34000,-299.01,0.80,0.93,0.93,28,6.20,0.00,123.50,-40.58,-43.33,-64.32,-42.87,-44.25,-63.65,-166.00,-33.75,26.12,-29.06,17.40,-157.65,10.94,-166.00,3072,[0.05810811 0.3672973  0.10513514 0.21405405 0.25540541]
34100,-194.73,1.00,1.00,0.78,32,4.60,0.00,89.10,-38.29,-15.50,-52.42,-25.56,-21.74,-41.22,125.06,30.17,31.69,25.38,16.40,8.51,12.91,125.06,1707,[0.05457103 0.3907173  0.09395218 0.20562588 0.25513361]
34200,-298.11,1.00,1.00,0.73,30,6.00,0.00,89.20,-41.53,-20.41,-68.08,-55.70,-28.82,-83.57,111.36,30.26,28.80,18.80,15.40,8.90,9.20,111.36,1450,[0.04815409 0.36784377 0.09898341 0.22097378 0.26404494]
34300,-301.94,1.00,1.00,0.53,30,6.00,0.00,111.40,-60.52,-33.30,-65.97,-19.53,-50.19,-72.42,14.05,-67.05,25.80,21.80,15.40,8.90,9.20,14.05,2192,[0.05331992 0.35613682 0.11846076 0.21529175 0.25679074]
34400,-320.34,0.80,0.95,0.82,28,5.20,0.00,127.30,-46.37,-59.69,-68.09,-59.81,-24.59,-61.79,-215.13,-38.63,-60.09,-54.06,9.76,-62.24,-9.87,-215.13,2244,[0.05594071 0.35333493 0.121683   0.22591442 0.24312694]
34500,-261.27,0.80,0.95,0.73,30,8.40,0.00,116.00,-38.49,-10.80,-63.42,-49.64,-29.65,-69.28,-101.33,-39.67,21.67,-52.10,-39.82,6.37,2.22,-101.33,1433,[0.05266001 0.36240886 0.10234945 0.22279233 0.25978936]
34600,-219.84,0.90,0.95,0.65,31,13.60,0.00,114.30,-29.10,-27.92,-44.30,-38.35,-38.73,-41.44,-181.68,7.26,-34.99,-85.55,14.98,11.62,-95.00,-181.68,1291,[0.04926686 0.38152493 0.1        0.20909091 0.2601173 ]
34700,-465.33,0.90,0.98,0.78,32,13.40,0.00,103.70,-77.03,-67.96,-108.59,-48.38,-77.06,-86.30,0.15,12.47,-43.73,30.17,11.09,6.54,-16.39,0.15,1701,[0.05550793 0.35640806 0.11015859 0.25117874 0.22674668]
34800,-260.15,0.70,0.85,0.62,29,44.80,0.00,166.00,-44.99,-19.49,-46.22,-53.33,-42.83,-53.29,-729.62,-55.22,-77.13,-198.19,-48.97,-196.90,-153.21,-729.62,1478,[0.04918033 0.37423156 0.09836066 0.22745902 0.25076844]
